fips,long,lat,cluster
1001.0,-86.494165,32.500389,6
1003.0,-87.762381,30.548923,6
1005.0,-85.310038,31.844036,6
1007.0,-87.127659,33.030921,6
1009.0,-86.591491,33.955243,46
1011.0,-85.701192,32.116327,6
1013.0,-86.65355,31.773539,6
1015.0,-85.819442,33.72546,46
1017.0,-85.266474,32.860439,6
1019.0,-85.629194,34.179333,46
1021.0,-86.687406,32.877547,6
1023.0,-88.264164,32.016562,71
1025.0,-87.815673,31.685685,6
1027.0,-85.820227,33.272412,6
1029.0,-85.494315,33.62977,6
1031.0,-85.904715,31.354433,6
1033.0,-87.685151,34.723385,53
1035.0,-86.996483,31.418674,6
1037.0,-86.155035,32.975932,6
1039.0,-86.410955,31.282449,6
1041.0,-86.29708,31.743487,6
1043.0,-86.831859,34.162362,46
1045.0,-85.641269,31.383346,6
1047.0,-87.034955,32.408815,6
1049.0,-85.817208,34.45511,46
1051.0,-86.225647,32.559652,6
1053.0,-87.282053,31.088737,6
1055.0,-86.025393,34.013693,46
1057.0,-87.770355,33.726422,53
1059.0,-87.793594,34.460481,53
1061.0,-85.788849,31.09426,6
1063.0,-87.924,32.830505,53
1065.0,-87.626084,32.775804,53
1067.0,-85.268828,31.478593,6
1069.0,-85.391221,31.20455,6
1071.0,-85.938698,34.731984,46
1073.0,-86.814688,33.518601,6
1075.0,-88.109649,33.762769,53
1077.0,-87.608759,34.866179,53
1079.0,-87.272414,34.543683,46
1081.0,-85.345833,32.588092,6
1083.0,-86.938972,34.815612,46
1085.0,-86.618688,32.162415,6
1087.0,-85.715007,32.425739,6
1089.0,-86.613232,34.746392,46
1091.0,-87.800648,32.340479,6
1093.0,-87.8743,34.111797,53
1095.0,-86.293279,34.311974,46
1097.0,-88.170637,30.683993,71
1099.0,-87.360894,31.505611,6
1101.0,-86.243797,32.346175,6
1103.0,-86.930781,34.514252,46
1105.0,-87.369219,32.581066,6
1107.0,-88.066472,33.292973,53
1109.0,-85.948647,31.787277,6
1111.0,-85.427266,33.257607,6
1113.0,-85.062843,32.421972,6
1115.0,-86.369107,33.660628,46
1117.0,-86.737978,33.290719,6
1119.0,-88.232646,32.57442,53
1121.0,-86.169238,33.372083,6
1123.0,-85.864503,32.85306,6
1125.0,-87.520229,33.214154,53
1127.0,-87.253922,33.834858,53
1129.0,-88.18612,31.410368,71
1131.0,-87.380407,31.999753,6
1133.0,-87.415693,34.163824,53
2013.0,-162.901536,54.860151,8
2016.0,-168.292885,54.023571,8
2020.0,-149.793182,61.192232,43
2050.0,-162.151263,60.679946,61
2060.0,-156.834047,58.735464,67
2068.0,-149.032949,63.882845,35
2070.0,-158.718472,59.136256,64
2090.0,-147.624018,64.831552,35
2100.0,-135.559897,59.264125,0
2105.0,-135.384163,58.078282,57
2110.0,-134.530605,58.358516,0
2122.0,-151.064475,60.292592,43
2130.0,-131.678527,55.367858,42
2150.0,-152.460881,57.779137,12
2164.0,-156.371652,58.557351,67
2170.0,-149.421961,61.611281,43
2180.0,-165.295491,64.457026,5
2185.0,-154.862085,70.522779,14
2188.0,-161.638185,66.943735,5
2195.0,-133.115025,56.812712,27
2198.0,-132.560842,55.448164,42
2201.0,-132.60169,55.469758,42
2220.0,-135.337171,57.062746,57
2230.0,-135.311501,59.464536,0
2232.0,-135.33448,58.415975,0
2240.0,-144.687024,63.856185,35
2261.0,-145.882504,61.26149,35
2270.0,-164.314723,62.089902,61
2275.0,-132.310837,56.385821,27
2280.0,-132.85609,56.683148,27
2282.0,-139.724878,59.547975,16
2290.0,-152.550423,65.010262,48
4001.0,-109.41484,35.577687,56
4003.0,-110.063053,31.607357,56
4005.0,-111.590056,35.514426,56
4007.0,-111.007494,33.82356,56
4009.0,-109.812181,32.86733,56
4011.0,-109.248712,32.970402,56
4012.0,-114.172146,33.908361,72
4013.0,-112.04143,33.493403,56
4015.0,-114.249634,35.069679,72
4017.0,-110.211155,34.893625,56
4019.0,-110.96001,32.216707,56
4021.0,-111.588364,33.060133,56
4023.0,-110.943195,31.434733,56
4025.0,-112.267767,34.629014,56
4027.0,-114.598663,32.65004,72
5001.0,-91.461284,34.405316,33
5003.0,-91.87136,33.179373,33
5005.0,-92.383933,36.332208,2
5007.0,-94.230543,36.337348,2
5009.0,-93.099344,36.267871,2
5011.0,-92.103312,33.569321,33
5013.0,-92.495555,33.591116,33
5015.0,-93.570816,36.373069,2
5017.0,-91.318378,33.32186,71
5019.0,-93.124856,34.094705,33
5021.0,-90.372418,36.370695,68
5023.0,-92.037481,35.510232,33
5025.0,-92.139146,33.914989,33
5027.0,-93.247459,33.258045,33
5029.0,-92.70416,35.214487,33
5031.0,-90.669325,35.835235,53
5033.0,-94.28436,35.496882,33
5035.0,-90.217261,35.17736,53
5037.0,-90.775307,35.252833,53
5039.0,-92.527123,33.869213,33
5041.0,-91.417485,33.773838,33
5043.0,-91.781779,33.6274,33
5045.0,-92.405359,35.104918,33
5047.0,-93.885464,35.446102,33
5049.0,-91.764934,36.376787,2
5051.0,-93.081852,34.505811,33
5053.0,-92.412714,34.309174,33
5055.0,-90.523016,36.07312,53
5057.0,-93.623587,33.699647,33
5059.0,-92.894595,34.353464,33
5061.0,-93.910184,33.983198,33
5063.0,-91.607539,35.749801,2
5065.0,-91.908429,36.120217,2
5067.0,-91.246233,35.621102,53
5069.0,-92.041179,34.233473,33
5071.0,-93.475517,35.475272,33
5073.0,-93.557538,33.287629,33
5075.0,-91.065733,36.070224,2
5077.0,-90.774516,34.785214,53
5079.0,-91.746234,33.975379,33
5081.0,-94.195995,33.700518,33
5083.0,-93.768119,35.227532,33
5085.0,-91.970577,34.905178,33
5087.0,-93.755297,36.061309,2
5089.0,-92.663368,36.28457,2
5091.0,-93.987504,33.400831,33
5093.0,-89.999037,35.84288,53
5095.0,-91.218021,34.777729,53
5097.0,-93.622663,34.517013,33
5099.0,-93.358085,33.722168,33
5101.0,-93.1705,35.98494,2
5103.0,-92.838871,33.574461,33
5105.0,-92.779271,34.999054,33
5107.0,-90.707796,34.529768,53
5109.0,-93.624765,34.187298,33
5111.0,-90.557998,35.60191,53
5113.0,-94.258519,34.52045,33
5115.0,-93.097238,35.309776,33
5117.0,-91.536241,34.859177,33
5119.0,-92.311659,34.773719,33
5121.0,-90.98842,36.304758,2
5123.0,-90.770297,35.015313,53
5125.0,-92.546163,34.593233,33
5127.0,-94.095905,34.907145,33
5129.0,-92.659155,35.922829,2
5131.0,-94.354435,35.318195,33
5133.0,-94.304091,34.014236,33
5135.0,-91.520168,36.178493,2
5137.0,-92.137,35.856705,2
5139.0,-92.64508,33.20687,33
5141.0,-92.421475,35.567839,33
5143.0,-94.172222,36.094275,2
5145.0,-91.767388,35.243736,33
5147.0,-91.252079,35.233191,53
5149.0,-93.28946,35.120982,33
6001.0,-122.100393,37.705201,69
6003.0,-119.847603,38.728298,22
6005.0,-120.775729,38.394208,69
6007.0,-121.707635,39.669037,69
6009.0,-120.633718,38.163627,69
6011.0,-122.085557,39.156148,69
6013.0,-122.030131,37.935588,69
6015.0,-124.163088,41.791232,26
6017.0,-120.74433,38.746543,69
6019.0,-119.767884,36.738918,24
6021.0,-122.177491,39.663418,69
6023.0,-124.087189,40.752982,26
6025.0,-115.534487,32.841101,72
6027.0,-118.267513,37.160247,24
6029.0,-118.936004,35.372968,24
6031.0,-119.729084,36.242749,24
6033.0,-122.734609,38.973362,69
6035.0,-120.579176,40.392397,22
6037.0,-118.244222,34.065193,72
