,fips,cluster,long,lat,deaths,clusterDeaths,state,county,clusterLat,clusterLong,distance
2102,12029.0,74,-83.056329,29.634179,0,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,1.417913178389723
2127,12041.0,74,-82.808262,29.704639,0,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,1.506631758032614
2036,12123.0,74,-83.59796700000001,30.064881,0,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.8058902099199867
2090,12067.0,74,-83.179508,30.065417999999998,0,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.992150852503977
1936,12129.0,74,-84.331546,30.185525,1,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.8553900913310033
2111,12121.0,74,-82.987546,30.214688,18,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,1.021926430842535
1945,12073.0,74,-84.270371,30.466103000000004,6,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.613491964431218
2058,12079.0,74,-83.430563,30.47263,3,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.5193408391139497
2109,12047.0,74,-82.997218,30.501534000000003,0,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.864928629523336
1999,12065.0,74,-83.886291,30.504031,2,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.35681441748602055
2101,13101.0,74,-83.057989,30.708629,0,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.7449893491706242
2042,13027.0,74,-83.54009,30.842082,7,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.24987588086193238
2077,13185.0,74,-83.280221,30.857006,4,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.5097715163173147
1991,13275.0,74,-83.948411,30.868962,26,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.1599412299048467
1953,13131.0,74,-84.214288,30.882764,4,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.42583856534636205
2098,13173.0,74,-83.090886,31.035393,2,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.7238104559668506
2059,13075.0,74,-83.424499,31.149846999999998,1,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.47422229402636007
2018,13071.0,74,-83.768671,31.180954999999997,10,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.33404996275288446
1961,13205.0,74,-84.172094,31.216853000000004,31,115,ClusterState,cluster74,30.84758061739131,-83.78990537391304,0.5314416604555378
2079,13019.0,75,-83.252459,31.238588,0,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,0.8010198983820915
2118,13003.0,75,-82.886363,31.317301,1,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,1.0588656280681101
2045,13277.0,75,-83.515048,31.454362,6,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,0.46259112663038343
2123,13069.0,75,-82.84066700000001,31.516,9,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,1.0304813710221514
2003,13321.0,75,-83.861186,31.535712,13,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,0.2548489034583677
2076,13155.0,75,-83.280834,31.604646999999996,1,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,0.5833960174612759
1960,13177.0,75,-84.173396,31.681194,22,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,0.3558713146846789
2033,13287.0,75,-83.636891,31.700824,12,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,0.21625418412920716
2081,13017.0,75,-83.248636,31.727638,0,114,ClusterState,cluster75,31.789137719298243,-83.83429049122807,0.5888746883415621
